Checklist Item,Best Practice for Conducting the Review,Rationale (Risk Mitigated),Importance,,,,,,,,,,,,,,,,,,,,,,
1.1: Open-Source Intelligence (OSINT) & Digital Footprint Analysis,,,,,,,,,,,,,,,,,,,,,,,,,
"1.1.1: PII Exposure Scan: What Personally Identifiable Information (PII) of the executive and family (home addresses, phone numbers, email, DOBs, vehicle details) is available on the open/deep/dark web?","Conduct a systematic OSINT investigation using professional tools and techniques to scan public records, data broker sites [33, 50], social media, and dark web data breach repositories.[30, 32]","PII is the ""currency"" for attackers. It enables doxxing 1, social engineering, impersonation [31], and the planning of physical attacks.2 Identifying exposure is the first step to mitigating it.[50]",Critical,,,,,,,,,,,,,,,,,,,,,,
"1.1.2: Residential Imagery Analysis: Is the executive's residence (and its vulnerabilities) clearly visible via online maps (e.g., Google Street View, satellite) or in public-facing media/social posts?","Use OSINT to search for the address and cross-reference with public-facing photos. Assess if satellite/street views reveal security features (or lack thereof), ""pattern of life"" [33], or home floor plans.2","Public imagery provides attackers with invaluable pre-attack surveillance data, allowing them to plan entry/exit routes and identify weaknesses without ever visiting the site.[33, 37]",High,,,,,,,,,,,,,,,,,,,,,,
1.1.3: Dark Web Credential Check: Are the executive's corporate or personal email credentials (and those of their family/staff) present in known data breaches?,"Utilize dark web monitoring services to check executive, family, and executive assistant email addresses against compiled breach databases.[38, 50]","Exposed credentials are the primary vector for Business Email Compromise (BEC), account takeover 3, and network intrusion.[31, 51] This is a direct, high-impact threat.",Critical,,,,,,,,,,,,,,,,,,,,,,
1.2: Social Media Review (Executive & Family),,,,,,,,,,,,,,,,,,,,,,,,,
"1.2.1: Executive Social Media Policy & Practice Review: Does the executive actively use social media? If so, are privacy settings maximized? Does their content reveal sensitive information (e.g., real-time location, travel plans, opinions on controversial topics)?","Manually review all executive profiles and assess against a ""social media risk matrix"".[52, 53] Identify posts that reveal ""pattern of life"" [31, 39], future travel, or strong opinions that could attract ""opinion outrage"".[31]","Executives are expected to be public-facing [54, 55], but this creates a paradox.3 This review mitigates the risk of inadvertent information leakage that can be used for stalking, harassment, or attack planning.[39, 41]",Critical,,,,,,,,,,,,,,,,,,,,,,
1.2.2: Family & Close Associate Social Media Review: Are the executive's family members (especially children) and close associates active on social media? Are their accounts private? Do they post sensitive information about the executive?,"This is a crucial, often-missed step. Identify family/associate accounts and review them for ""secondary"" or ""third-party"" information leakage.[38, 40]","This is the ""extended attack surface"".3 Attackers target family accounts [56, 57] because they are typically less secure. A child's post [38, 41] or a spouse's post 3 can leak data used for high-value fraud 4 or physical threats.3",Critical,,,,,,,,,,,,,,,,,,,,,,
"1.3: Personal Practices & ""Pattern of Life"" Analysis",,,,,,,,,,,,,,,,,,,,,,,,,
"1.3.1: Routine & Predictability Analysis: Does the executive follow a highly predictable daily, weekly, or monthly schedule (e.g., same route to work, same restaurant on Tuesdays)?","Conduct a ""Pattern of Life"" (POL) analysis [34, 35] by mapping known activities. This is often done via discreet observation, interviews, and analysis of OSINT data.[58]","Predictability is an attacker's single greatest asset.[58] A predictable ""pattern of life"" [59] makes planning an ambush, kidnapping, or other attack simple. The goal is to identify these patterns so they can be consciously varied.[60]",Critical,,,,,,,,,,,,,,,,,,,,,,
"1.3.2: Review of Public-Facing Engagements: How are public engagements (speeches, board meetings, charity events) planned and assessed for risk?","Review the process for ""advance work"" (see 1.4) for all public-facing events. This includes threat monitoring for the event, secure transport, and on-site protection.[61, 62]","Public engagements are points of high vulnerability, as time and place are predictable.[33] A formal review process ensures risks are identified and mitigated for each event.[61]",High,,,,,,,,,,,,,,,,,,,,,,
"1.4: Travel Security Program & ""Advance Work"" Review",,,,,,,,,,,,,,,,,,,,,,,,,
"1.4.1: Pre-Travel Risk Assessment Process: Is a formal, documented travel risk assessment (TRA) conducted for all executive travel (domestic and international)?","The TRA process should be standardized. It must analyze destination-specific threats (crime, civil unrest, political instability [63, 64]), leverage intelligence [42, 64], and be tailored to the executive's profile.[65, 66]","This is the single most critical step in travel security.[63, 67] It forms the foundation of the entire travel plan and ensures that risks are proactively identified and mitigated, not discovered upon arrival.[42, 68]",Critical,,,,,,,,,,,,,,,,,,,,,,
"1.4.2: Security ""Advance"" Procedures: Are security ""advances"" (physical reconnaissance of all venues, routes, hotels, and hospitals) conducted by trained personnel prior to the principal's arrival?","An ""advance"" is the non-negotiable, most important part of a protection mission.[69] It involves on-the-ground site surveys, route/alternate route mapping [68], liaison with local law enforcement [60, 70], and emergency planning.[71, 72, 73]","The advance ""eliminates surprises"".[72] It identifies vulnerabilities (blind corners, unvetted staff) before the executive is exposed to them.[42, 74] It also reduces legal and financial liability by ensuring a documented, standards-based process was followed.[75]",Critical,,,,,,,,,,,,,,,,,,,,,,
